date,team,opponent,GF,GA,pre_rating_team,pre_rating_opponent,did_score_team,fail_to_score_team,did_receive_goal_team,not_receive_goal_team,GF_last_5_team,GA_last_5_team,qatar,magic_johnson_team,rating_team,did_score_opponent,fail_to_score_opponent,did_receive_goal_opponent,not_receive_goal_opponent,GF_last_5_opponent,GA_last_5_opponent,magic_johnson_opponent,rating_opponent
2022-09-23,Canada,Qatar,2,0,1712,1673,3,2,3,2,9,4,FALSE,0.555890961116853,1739,3,2,3,2,4,4,0.444109038883147,1646
2022-06-09,Canada,Curaçao,4,0,1760,1400,3,2,2,3,8,2,FALSE,0.888184230221883,1767,3,2,4,1,4,8,0.111815769778117,1393
2022-03-27,Canada,Jamaica,4,0,1818,1526,4,1,2,3,8,2,FALSE,0.843021964414036,1827,3,2,5,0,4,10,0.156978035585964,1517
2022-01-30,Canada,United States,2,0,1814,1863,4,1,2,3,9,2,FALSE,0.429947176416012,1848,5,0,2,3,7,2,0.570052823583988,1829
2021-11-16,Canada,Mexico,2,1,1773,1817,4,1,2,3,9,2,FALSE,0.437015271896404,1807,4,1,3,2,8,6,0.562984728103596,1783
2021-11-12,Canada,Costa Rica,1,0,1756,1610,4,1,3,2,9,3,FALSE,0.698558626418023,1774,3,2,4,1,4,5,0.301441373581977,1592
2021-10-13,Canada,Panama,4,1,1734,1616,4,1,3,2,6,3,FALSE,0.663574098041296,1754,3,2,2,3,5,2,0.336425901958705,1596
2021-09-08,Canada,El Salvador,3,0,1705,1563,4,1,4,1,5,5,FALSE,0.693687916421965,1723,1,4,2,3,2,4,0.306312083578035,1545
2021-09-02,Canada,Honduras,1,1,1692,1609,4,1,4,1,11,5,FALSE,0.617225030904946,1685,2,3,3,2,7,7,0.382774969095054,1616
2021-07-25,Canada,Costa Rica,2,0,1682,1666,4,1,3,2,12,3,FALSE,0.523009587297562,1711,4,1,4,1,8,8,0.476990412702438,1637
2021-06-15,Canada,Haiti,3,0,1624,1476,5,0,1,4,28,1,FALSE,0.700977398610108,1642,3,2,2,3,13,2,0.299022601389892,1458
2022-03-28,Cape Verde,San Marino,2,0,1483,801,3,2,3,2,9,4,FALSE,0.98065729259744,1484,1,4,5,0,1,24,0.0193427074025603,800
2022-03-25,Cape Verde,Liechtenstein,6,0,1481,1107,3,2,3,2,4,4,FALSE,0.895941050841722,1487,1,4,5,0,1,20,0.104058949158278,1101
2022-03-23,Cape Verde,Guadeloupe,2,0,1474,1237,3,2,4,1,3,5,FALSE,0.796454699711726,1486,5,0,4,1,6,8,0.203545300288274,1225
2022-01-09,Cape Verde,Ethiopia,1,0,1497,1378,5,0,4,1,7,5,FALSE,0.664857978554765,1517,4,1,5,0,6,8,0.335142021445235,1358
2021-11-13,Cape Verde,Central African Republic,2,1,1457,1294,4,1,4,1,5,6,FALSE,0.718756829898782,1474,2,3,4,1,2,9,0.281243170101218,1277
2022-06-05,Central African Republic,Ghana,1,1,1224,1548,4,1,4,1,4,10,FALSE,0.134110417544956,1246,4,1,3,2,7,5,0.865889582455044,1526
2022-03-26,Central African Republic,Sudan,0,0,1242,1281,4,1,4,1,4,10,FALSE,0.444109038883147,1245,2,3,3,2,3,7,0.555890961116853,1278
2022-03-29,Chile,Uruguay,0,2,1810,1912,4,1,4,1,7,10,FALSE,0.35728693116738,1789,3,2,3,2,6,5,0.64271306883262,1933
2022-01-27,Chile,Argentina,1,2,1821,2111,4,1,2,3,7,4,FALSE,0.158507633076758,1811,3,2,0,5,5,0,0.841492366923242,2121
2021-12-11,Chile,El Salvador,1,0,1807,1499,4,1,2,3,8,4,FALSE,0.85482917753176,1816,3,2,5,0,3,7,0.14517082246824,1490
2021-12-08,Chile,Mexico,2,2,1804,1792,3,2,2,3,6,4,FALSE,0.517262524432376,1803,4,1,3,2,8,7,0.482737475567624,1793
2021-11-16,Chile,Ecuador,0,2,1831,1834,4,1,2,3,7,5,FALSE,0.49568276024494,1801,4,1,2,3,8,4,0.50431723975506,1864
2021-10-14,Chile,Venezuela,3,0,1778,1727,2,3,3,2,3,6,FALSE,0.572872251394505,1804,4,1,5,0,5,10,0.427127748605496,1701
2021-10-10,Chile,Paraguay,2,0,1747,1831,1,4,4,1,1,7,FALSE,0.381415877910969,1784,3,2,4,1,6,7,0.618584122089031,1794
2021-09-02,Chile,Brazil,0,1,1802,2122,3,2,4,1,3,5,FALSE,0.13680688860321,1794,4,1,3,2,5,3,0.86319311139679,2130
2021-06-21,Chile,Uruguay,1,1,1834,1888,5,0,4,1,6,4,FALSE,0.422907524174671,1839,1,4,2,3,3,3,0.577092475825329,1883
2021-06-18,Chile,Bolivia,1,0,1824,1608,5,0,5,0,6,6,FALSE,0.776154575341831,1837,5,0,5,0,7,9,0.223845424658169,1595
2021-06-08,Chile,Bolivia,1,1,1851,1610,5,0,4,1,8,6,FALSE,0.800162055915136,1833,5,0,5,0,9,10,0.199837944084864,1628
2021-03-26,Chile,Bolivia,2,1,1810,1626,5,0,4,1,10,7,FALSE,0.74253555894307,1825,3,2,4,1,5,12,0.25746444105693,1611
2022-03-24,China,Saudi Arabia,1,1,1453,1605,4,1,5,0,5,10,FALSE,0.294218640287998,1465,2,3,4,1,2,5,0.705781359712003,1593
2022-11-19,Colombia,Paraguay,2,0,1931,1740,5,0,2,3,12,3,FALSE,0.750163481828642,1946,3,2,2,3,4,3,0.249836518171358,1725
2022-09-27,Colombia,Mexico,3,2,1904,1807,4,1,2,3,9,2,FALSE,0.636076899687882,1926,3,2,2,3,5,2,0.363923100312118,1785
2022-09-24,Colombia,Guatemala,4,1,1902,1477,3,2,2,3,5,2,FALSE,0.92030488067236,1907,3,2,2,3,5,3,0.0796951193276406,1472
2022-06-05,Colombia,Saudi Arabia,1,0,1888,1641,3,2,3,2,6,3,FALSE,0.80562769404365,1900,3,2,3,2,3,4,0.19437230595635,1629
2022-03-24,Colombia,Bolivia,3,0,1854,1654,1,4,4,1,2,4,FALSE,0.759746926647958,1868,4,1,3,2,11,10,0.240253073352042,1640
2022-01-28,Colombia,Peru,0,1,1903,1820,1,4,2,3,2,2,FALSE,0.617225030904946,1866,4,1,3,2,9,3,0.382774969095054,1857
2022-01-16,Colombia,Honduras,2,1,1905,1497,0,5,1,4,0,1,FALSE,0.912825811745413,1910,2,3,4,1,3,10,0.0871741882545869,1492
2021-11-16,Colombia,Paraguay,0,0,1913,1730,1,4,2,3,3,2,FALSE,0.7414335229693,1899,1,4,4,1,2,8,0.2585664770307,1744
