team,quarter,year,rank,total_points,previous_points,index_fifa
Georgia,2017.1,2017,119.666666666667,279.333333333333,265.666666666667,0.17140519533647
Philippines,2017.1,2017,120.333333333333,277.666666666667,285.666666666667,0.170382491307016
Cyprus,2017.1,2017,123.333333333333,269.333333333333,300.666666666667,0.165268971159746
Korea DPR,2017.1,2017,124,266,281,0.163223563100839
Oman,2017.1,2017,124,266,283,0.163223563100839
Bahrain,2017.1,2017,124.333333333333,265,271.666666666667,0.162609940683166
Dominican Rep.,2017.1,2017,125,262,286.333333333333,0.160769073430149
Niger,2017.1,2017,127.666666666667,251.333333333333,269,0.154223767641645
Palestine,2017.1,2017,128,245.333333333333,269.666666666667,0.150542033135611
Luxembourg,2017.1,2017,130.666666666667,237.333333333333,231.666666666667,0.145633053794232
Guyana,2017.1,2017,132.666666666667,229.666666666667,256.666666666667,0.140928615258744
Turkmenistan,2017.1,2017,133,236.333333333333,273.666666666667,0.14501943137656
Vietnam,2017.1,2017,133,228,230.333333333333,0.13990591122929
Tajikistan,2017.1,2017,133.333333333333,229.666666666667,224.333333333333,0.140928615258744
Thailand,2017.1,2017,133.666666666667,232,229.333333333333,0.14236040089998
Madagascar,2017.1,2017,134,227.666666666667,244,0.139701370423399
Chad,2017.1,2017,135.666666666667,230.666666666667,279.666666666667,0.141542237676416
Burundi,2017.1,2017,136.333333333333,221.333333333333,243,0.135815095111475
India,2017.1,2017,136.333333333333,221.333333333333,217.333333333333,0.135815095111475
El Salvador,2017.1,2017,136.666666666667,221.333333333333,225.333333333333,0.135815095111475
Cuba,2017.1,2017,139.333333333333,223.333333333333,239.666666666667,0.137042339946819
Hong Kong,2017.1,2017,139.666666666667,214,217.666666666667,0.131315197381878
Angola,2017.1,2017,140.333333333333,211.333333333333,227.333333333333,0.129678870934751
Comoros,2017.1,2017,140.666666666667,211.333333333333,206.666666666667,0.129678870934751
Sudan,2017.1,2017,141,208.666666666667,218.333333333333,0.128042544487625
Yemen,2017.1,2017,143,204,212.666666666667,0.125178973205154
Lesotho,2017.1,2017,144.333333333333,201.666666666667,201,0.123747187563919
Afghanistan,2017.1,2017,146,195.333333333333,199.333333333333,0.119860912251994
Puerto Rico,2017.1,2017,146.666666666667,194,207.333333333333,0.119042749028431
Mauritius,2017.1,2017,147,193,190.666666666667,0.118429126610759
Lebanon,2017.1,2017,148,191,201.666666666667,0.117201881775414
Suriname,2017.1,2017,149.333333333333,190.333333333333,162.666666666667,0.116792800163633
Sao Tome e Principe,2017.1,2017,153,177,183.666666666667,0.108611167928002
Tanzania,2017.1,2017,153.333333333333,170.666666666667,207.333333333333,0.104724892616077
Maldives,2017.1,2017,155.333333333333,166.666666666667,157.666666666667,0.102270402945388
Barbados,2017.1,2017,155.666666666667,163,165.666666666667,0.100020454080589
Grenada,2017.1,2017,156.333333333333,157.333333333333,164.666666666667,0.0965432603804459
Tahiti,2017.1,2017,156.333333333333,162.666666666667,140,0.0998159132746983
Chinese Taipei,2017.1,2017,158.666666666667,149,130.333333333333,0.0914297402331765
Aruba,2017.1,2017,159.666666666667,147,149.666666666667,0.0902024953978318
N. Macedonia,2017.1,2017,159.666666666667,149,172,0.0914297402331765
Malaysia,2017.1,2017,160.333333333333,145.333333333333,150.333333333333,0.089179791368378
Myanmar,2017.1,2017,160.333333333333,148,160,0.0908161178155042
Belize,2017.1,2017,162.333333333333,141,141,0.0865207608917979
Kosovo,2017.1,2017,164.666666666667,135,135,0.082839026385764
Singapore,2017.1,2017,166,131.666666666667,145.333333333333,0.0807936183268562
Moldova,2017.1,2017,166.333333333333,131.666666666667,137,0.0807936183268562
Papua NG,2017.1,2017,166.666666666667,132,142,0.080998159132747
New Caledonia,2017.1,2017,167.666666666667,124.666666666667,134.333333333333,0.0764982614031499
South Sudan,2017.1,2017,168,123,128,0.0754755573736961
Cambodia,2017.1,2017,169.333333333333,123.333333333333,118.333333333333,0.0756800981795868
Laos,2017.1,2017,169.666666666667,123.666666666667,112,0.0758846389854776
Kuwait,2017.1,2017,170,120,132,0.0736346901206791
St. Vincent,2017.1,2017,172.666666666667,115.333333333333,130.666666666667,0.0707711188382082
Dominica,2017.1,2017,173.666666666667,111,114.666666666667,0.0681120883616281
St. Lucia,2017.1,2017,174.666666666667,107,111.666666666667,0.0656575986909389
Gambia,2017.1,2017,175,106,113.666666666667,0.0650439762732665
Vanuatu,2017.1,2017,175.333333333333,105,104,0.0644303538555942
Indonesia,2017.1,2017,176.333333333333,104.333333333333,94,0.0640212722438126
Bhutan,2017.1,2017,177.333333333333,99.6666666666667,87,0.0611577009613418
Fiji,2017.1,2017,178.333333333333,99,96,0.0607486193495602
Malta,2017.1,2017,181,89,93.6666666666667,0.054612395172837
Nepal,2017.1,2017,182.666666666667,86.6666666666667,79.3333333333333,0.0531806095316016
Guam,2017.1,2017,183,85.3333333333333,86,0.0523624463080385
Bangladesh,2017.1,2017,185.333333333333,79.3333333333333,77.3333333333333,0.0486807118020045
Seychelles,2017.1,2017,185.333333333333,78.6666666666667,76.6666666666667,0.048271630190223
Bermuda,2017.1,2017,186.333333333333,77,77,0.0472489261607691
Liechtenstein,2017.1,2017,187,77,80.6666666666667,0.0472489261607691
Macau,2017.1,2017,188,68,55.3333333333333,0.0417263244017181
Solomon Islands,2017.1,2017,189,70,69,0.0429535692370628
Timor-Leste,2017.1,2017,189.333333333333,67.3333333333333,72.6666666666667,0.0413172427899366
American Samoa,2017.1,2017,190.333333333333,64,64,0.0392718347310288
Cook Islands,2017.1,2017,190.333333333333,64,64,0.0392718347310288
Samoa,2017.1,2017,190.333333333333,64,64,0.0392718347310288
